lat,lon
40.00427842,-105.25547985
40.03915183,-105.25601981
40.01877257,-105.27955099
39.9991,-105.255
40.02111185,-105.25407593
40.00053736,-105.27053652
40.00520194,-105.26454446
40.02100793,-105.25471457
40.015852,-105.2568543
40.01079151,-105.27879624
40.00720232,-105.268989
40.00727704,-105.28173885
40.0174255,-105.2914
39.98692245,-105.22877996
40.03916042,-105.25597237
40.00157468,-105.25432591
40.00161237,-105.2543531
40.0211768,-105.25385275
40.01070426,-105.27767795
40.00863699,-105.26414758
40.01299112,-105.23401455
39.97225144,-105.2459106
40.01304107,-105.23403322
40.00266511,-105.2644427
40.00587199,-105.26452568
40.02011092,-105.25797488
40.00627474,-105.27471179
40.0530717,-105.24997369
40.0177527,-105.2578141
40.00422361,-105.26434387
39.97689949,-105.24415315
40.01308038,-105.23387508
40.0149856,-105.2705456
40.00691952,-105.2665686
39.97806178,-105.2162062
40.0104137,-105.26065423
40.00680942,-105.26694395
39.99891951,-105.2504474
39.99891759,-105.25043751
40.05476408,-105.21873579
40.00709763,-105.26103543
40.01667373,-105.27027838
40.01033332,-105.2606191
40.00349996,-105.25746761
40.01741617,-105.28238683
40.00686766,-105.27557895
40.01742355,-105.28258726
40.01738685,-105.27255595
40.02121163,-105.25413346
40.02121163,-105.25413346
39.99856841,-105.28075285
40.04761276,-105.28071771
40.03230323,-105.28121903
40.02117952,-105.25418133
40.02080804,-105.25933858
40.02107154,-105.2539311
40.02120852,-105.25382942
40.0301921,-105.2824819
40.0213545,-105.25404939
40.01006251,-105.27674941
40.02114662,-105.25384211
39.987779,-105.233713
40.01152554,-105.28475977
40.02116565,-105.25377321
40.02117259,-105.25382667
40.01511311,-105.25840946
40.00651642,-105.25541381
40.0236099,-105.26177323
40.02120052,-105.25392484
40.03590058,-105.08137213
40.04342959,-105.26303711
40.02113519,-105.25376742
40.0283947,-105.2589772
40.0377816,-105.25678466
40.00821144,-105.27611785
40.00830643,-105.27627504
40.0511917,-105.2294595
40.00834003,-105.27618092
40.01995,-105.271471
40.04076438,-105.25074567
40.01938944,-105.27324581
40.00607919,-105.24548267
40.07259658,-105.19926269
40.04450541,-105.25394822
39.90657043,-104.64811707
40.01388035,-105.30048901
40.00611993,-105.25459522
40.02019509,-105.25363156
40.01718303,-105.26019228
39.99777876,-105.26099095
40.0149856,-105.2705456
39.98516355,-105.24892264
40.0576475,-105.2066176
40.0576736,-105.2066677
40.029712,-105.2390488
39.98405732,-105.23675153
39.98401493,-105.23660826
39.98400691,-105.23668251
39.99755485,-105.26102116
39.98392051,-105.23682571
40.01884926,-105.27460038
40.02184018,-105.25955614
40.01384562,-105.27008621
39.97305201,-105.24651102
40.00411273,-105.26460236
40.01393342,-105.27003671
40.00067926,-105.22058051
39.981599,-105.237813
40.0178957,-105.28071717
40.01742213,-105.26092968
40.00808675,-105.27108999
40.0194,-105.259
40.00810915,-105.27111774
39.99862043,-105.23927109
40.00815303,-105.27109566
40.00809238,-105.27105922
40.00805586,-105.27109405
39.97806178,-105.2162062
40.01703694,-105.27838265
40.025414,-105.253511
40.00911091,-105.27188115
40.0089889,-105.2747748
40.00786195,-105.26551845
40.03226519,-105.28042137
40.00758701,-105.27278142
40.01528354,-105.26210056
39.98591619,-105.22976545
40.01809199,-105.27430933
40.0663436,-105.2056278
40.01865118,-105.27719427
40.00884522,-105.27324026
40.01579139,-105.25203824
40.00547005,-105.25758207
40.0314582,-105.2562011
40.018588,-105.28019944
40.0577692,-105.20701
40.00710793,-105.277244
40.017834,-105.281754
40.017834,-105.281754
40.029716,-105.2389935
40.00329783,-105.2614858
39.99803814,-105.25251408
40.00866455,-105.24449755
40.00642637,-105.27422003
40.00694275,-105.25556946
39.99702292,-105.26086992
40.01606965,-105.28124848
40.00517263,-105.26760749
40.00610931,-105.25543502
40.00697104,-105.27153494
40.00507891,-105.26751744
40.00510313,-105.26756106
39.997638,-105.2610076
40.03593,-105.25416
40.00721306,-105.2730025
40.00200672,-105.26392101
40.00518876,-105.2676598
40.0061493,-105.26608405
40.00904182,-105.27203029
40.00902025,-105.2721924
40.00571902,-105.2552237
40.00931358,-105.27178595
40.00810363,-105.26464479
40.00362363,-105.26757963
40.00191857,-105.2639842
40.0177,-105.258
40.00874282,-105.27259726
40.03292383,-105.2812314
40.00918962,-105.27198669
40.0154051,-105.2543394
40.0149856,-105.2705456
40.0019875,-105.2638919
40.00193547,-105.26384575
40.00979523,-105.26686733
40.0203315,-105.25369011
39.9975745,-105.26102357
40.00811681,-105.27677247
40.00892275,-105.27646696
39.99880516,-105.23904067
40.00553894,-105.26057432
40.00709876,-105.27092968
40.03433151,-105.25110437
40.0226906,-105.257937
40.00655845,-105.25202832
40.00651012,-105.25198713
40.00648428,-105.25195605
40.034441,-105.263789
40.00704043,-105.27149146
40.0213215,-105.2612022
40.00566877,-105.25785956
39.99759447,-105.26098309
40.0149856,-105.2705456
40.01441181,-105.278936
40.01582529,-105.28232052
39.991303,-105.260722
40.00089565,-105.27031744
39.9925719,-105.2207588
